cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
D_emergent_shared,5002,0.9714492597036921,271.0,0.0,0.9566450336136305,,,,3.659121188269244,0.8422757209345894,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5003,0.9725693011206624,271.0,0.0,0.9585436027851331,,,,3.5291607697929397,0.8735459990502031,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5004,0.9682683443475438,271.0,0.0,0.954589836232001,,,,3.660187751797957,0.8325213019220993,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5005,0.9725135795976558,271.0,0.0,0.9561303943447981,,,,3.7164596283313616,0.7961053877831875,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5006,0.9708804408177111,271.0,0.0,0.955984413778819,,,,3.5503039427129544,0.8530813834449076,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5007,0.9707142901844842,271.0,0.0,0.9555667028452761,,,,3.7469293621133843,0.8330839500459171,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5008,0.9715615992338859,271.0,0.0,0.9570437431960405,,,,3.6781180836379894,0.8123889815776891,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5009,0.9717468721680181,271.0,0.0,0.9568377369642189,,,,3.6208337143508045,0.8430058329591072,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5010,0.9678806748610895,271.0,0.0,0.9562208616551438,,,,3.55610225635644,0.8214182519546201,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5011,0.9721702416703051,271.0,0.0,0.9574648692987743,,,,3.872069014665279,0.7805467452814947,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5012,0.9714808234964525,271.0,0.0,0.9568029010736951,,,,3.784165816723701,0.8112159826018507,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5013,0.9704779521182127,271.0,0.0,0.9577637261655289,,,,3.6047481466799316,0.8571567628449602,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5014,0.9718198482504858,271.0,0.0,0.9583437537696569,,,,3.7543355308884703,0.8210787393585727,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
